external,year,test_1,session_3,session_4,test_2,session_5,test_3,dropout,outside_interaction,first_sessions
False,3,2,93.0,29.0,5.0,77.0,2.0,True,0.0,104
False,3,5,6.0,46.0,5.0,36.0,5.0,False,0.7673027425301494,12
False,3,5,99.0,70.0,4.0,94.0,3.0,False,2.072354087415167,67
True,3,1,3.0,33.0,3.0,42.0,4.0,False,0.9701748397285618,19
True,1,1,58.0,47.0,3.0,50.0,1.0,False,3.1937691349411663,37
True,1,3,51.0,84.0,5.0,36.0,3.0,False,3.2018681573315617,146
True,2,2,34.0,76.0,2.0,46.0,2.0,True,2.0020754883277325,100
True,3,3,50.0,55.0,4.0,16.0,3.0,False,2.769441919957867,98
True,1,2,89.0,67.0,5.0,20.0,3.0,False,2.603735863932404,129
True,3,5,50.0,55.0,4.0,91.0,3.0,False,3.0260044927364786,84
False,1,1,32.0,48.0,3.0,30.0,3.0,False,4.086709459591729,69
True,3,2,48.0,11.0,3.0,49.0,2.0,True,0.0,145
True,3,2,1.0,30.0,4.0,23.0,3.0,True,1.5663721779729851,113
False,3,1,46.0,45.0,2.0,57.0,4.0,False,5.948745206671009,14
True,3,2,19.0,13.0,3.0,44.0,2.0,False,1.1747791334797388,112
False,1,4,51.0,53.0,3.0,18.0,5.0,False,2.937206562162555,59
False,1,1,82.0,55.0,1.0,42.0,2.0,False,3.468588338679792,160
False,1,1,28.0,7.0,2.0,22.0,4.0,False,2.94563197417941,135
False,2,5,8.0,16.0,1.0,35.0,5.0,False,0.9266419727179824,16
True,1,4,2.0,9.0,4.0,37.0,3.0,True,1.2602999910726094,105
True,3,1,40.0,28.0,1.0,28.0,1.0,True,1.6131821179646177,14
False,3,5,2.0,11.0,3.0,37.0,4.0,False,1.1997289799038438,8
True,3,3,64.0,64.0,3.0,84.0,1.0,False,3.236975612325286,99
False,2,5,3.0,44.0,3.0,36.0,5.0,False,1.3320597774883467,9
False,2,5,79.0,71.0,2.0,79.0,2.0,False,4.341539835817575,136
True,3,5,12.0,54.0,2.0,41.0,2.0,False,0.40541780477036454,5
True,3,5,50.0,78.0,3.0,53.0,2.0,False,2.312392225786528,71
False,2,5,81.0,18.0,2.0,38.0,2.0,False,3.795365821445853,143
True,3,4,61.0,33.0,4.0,46.0,2.0,False,3.687984870285455,113
True,3,5,17.0,65.0,1.0,32.0,4.0,False,3.9192712070135016,57
False,3,5,7.0,42.0,4.0,37.0,4.0,False,1.102505637313065,15
True,1,1,54.0,4.0,5.0,98.0,1.0,False,1.977189331003613,46
True,1,4,20.0,63.0,2.0,31.0,2.0,False,3.4223441062370674,67
False,2,5,65.0,40.0,5.0,19.0,2.0,False,2.9206821277553052,128
True,3,5,59.0,17.0,5.0,49.0,1.0,False,5.7353891112765165,99
False,3,4,18.0,77.0,4.0,73.0,1.0,True,1.8368683075708683,79
False,3,5,1.0,48.0,2.0,31.0,4.0,False,0.8108356095407291,18
False,3,2,71.0,60.0,5.0,17.0,5.0,False,2.4696728697951364,141
True,2,1,34.0,30.0,2.0,38.0,2.0,True,1.800857064099762,118
False,3,2,27.0,62.0,3.0,87.0,1.0,True,1.2602999910726094,174
False,3,5,9.0,14.0,1.0,27.0,2.0,False,1.102505637313065,15
True,2,5,95.0,72.0,4.0,33.0,4.0,False,2.9020991071688305,118
True,2,4,42.0,34.0,4.0,67.0,3.0,False,3.3693064099097887,143
True,3,4,72.0,68.0,5.0,22.0,4.0,False,2.117945540604971,96
False,3,1,70.0,37.0,3.0,70.0,4.0,False,3.1502362679305866,168
False,1,5,72.0,4.0,2.0,78.0,5.0,False,4.668317318583637,131
False,3,4,12.0,8.0,4.0,25.0,5.0,False,0.6349719449456463,18
True,2,4,8.0,43.0,3.0,45.0,4.0,False,1.1997289799038438,19
False,3,1,13.0,53.0,1.0,39.0,5.0,False,0.7673027425301494,15
True,1,1,30.0,38.0,2.0,57.0,1.0,False,3.66907546007252,24
True,3,1,18.0,48.0,2.0,81.0,4.0,False,3.66303502386135,176
True,3,5,66.0,69.0,3.0,1.0,5.0,False,2.577380210581995,46
False,1,2,31.0,48.0,4.0,62.0,4.0,False,4.161558998864043,14
False,2,5,78.0,82.0,3.0,50.0,4.0,False,3.0260044927364786,96
False,2,2,90.0,53.0,2.0,98.0,4.0,False,5.222263965719294,90
True,3,3,22.0,26.0,5.0,20.0,3.0,True,0.5293231903380127,86
True,3,5,14.0,58.0,3.0,67.0,1.0,False,4.781738705955204,85
True,1,3,37.0,40.0,2.0,4.0,1.0,False,2.1098465182145762,115
False,1,1,41.0,50.0,4.0,56.0,5.0,False,3.8824315554670124,18
True,3,4,40.0,92.0,3.0,57.0,3.0,False,2.101421106197721,160
False,2,5,8.0,55.0,5.0,35.0,5.0,False,0.732195287536425,14
False,2,2,31.0,52.0,1.0,97.0,3.0,False,3.104971204367243,15
True,3,3,54.0,68.0,2.0,50.0,1.0,False,3.239034198504511,136
True,3,1,20.0,47.0,3.0,3.0,2.0,False,4.42654698365951,97
True,3,2,40.0,24.0,5.0,57.0,1.0,False,2.628685710356509,167
False,2,3,89.0,36.0,2.0,79.0,2.0,False,3.4310959078803833,92
False,3,5,54.0,99.0,5.0,71.0,5.0,False,2.691127987580024,148
True,2,3,24.0,4.0,3.0,24.0,3.0,False,2.0831644752377065,98
True,3,1,3.0,49.0,4.0,26.0,1.0,False,1.3320597774883467,20
True,3,5,94.0,34.0,5.0,8.0,5.0,False,3.512121205690372,74
False,1,1,93.0,65.0,4.0,50.0,1.0,False,2.8504672177678563,35
False,3,2,21.0,35.0,4.0,50.0,2.0,False,4.244316493226798,107
True,3,5,70.0,5.0,2.0,19.0,5.0,False,1.9069744210161637,54
True,3,5,53.0,73.0,5.0,70.0,3.0,False,1.7995934698557656,171
True,3,5,99.0,58.0,4.0,42.0,4.0,False,2.8336163937341463,133
False,3,5,89.0,78.0,2.0,36.0,4.0,False,6.740345016372342,142
True,1,4,53.0,6.0,4.0,35.0,2.0,True,0.9294504433902673,121
False,3,5,9.0,24.0,3.0,31.0,4.0,False,0.7757281545470045,16
True,3,4,72.0,42.0,5.0,0.0,2.0,False,2.0642550650247715,186
False,3,3,14.0,52.0,1.0,93.0,2.0,False,4.4711592679699335,107
True,3,5,9.0,56.0,1.0,3.0,4.0,False,3.7335763234752593,135
True,3,5,1.0,30.0,5.0,37.0,5.0,False,0.8645260851209282,7
True,3,5,50.0,66.0,1.0,76.0,1.0,False,2.355925092797108,100
True,3,5,56.0,45.0,3.0,46.0,3.0,False,0.9533240156948519,90
True,3,3,81.0,6.0,1.0,18.0,5.0,False,2.3640241151875028,132
True,1,2,29.0,52.0,2.0,60.0,1.0,False,6.643448063408024,5
True,3,5,67.0,75.0,2.0,38.0,4.0,False,0.8831091057074028,126
False,3,2,23.0,34.0,2.0,69.0,2.0,False,5.814355822907281,24
True,3,5,79.0,36.0,5.0,89.0,5.0,False,3.2909924775319457,122
True,2,1,57.0,34.0,5.0,17.0,5.0,False,1.5616139176636288,146
False,3,4,11.0,56.0,3.0,49.0,5.0,False,1.0589727703024856,9
True,2,5,55.0,31.0,3.0,72.0,5.0,False,1.6753616946616572,63
False,2,1,92.0,63.0,5.0,49.0,4.0,False,3.261925458749391,90
True,3,2,52.0,54.0,5.0,28.0,3.0,False,0.802410197523874,22
True,3,3,79.0,88.0,3.0,20.0,4.0,False,5.937934818848468,66
False,1,1,59.0,42.0,2.0,59.0,1.0,False,6.413893923232742,16
False,3,5,4.0,17.0,4.0,34.0,2.0,False,0.7757281545470045,19
False,2,3,19.0,22.0,3.0,34.0,4.0,False,2.919702958875925,165
True,3,3,93.0,37.0,3.0,40.0,5.0,False,4.869130829602824,113
True,2,2,65.0,63.0,3.0,41.0,1.0,True,1.059081566844639,88
False,2,1,43.0,42.0,1.0,72.0,3.0,False,6.486167419399416,17
True,3,5,12.0,98.0,4.0,28.0,1.0,False,1.102505637313065,137
False,3,1,94.0,17.0,5.0,56.0,3.0,True,1.0343042060626726,117
False,3,2,36.0,54.0,2.0,50.0,4.0,False,5.4359464507402455,32
False,3,4,11.0,8.0,3.0,24.0,4.0,False,1.0589727703024856,25
True,1,5,27.0,43.0,2.0,18.0,2.0,False,2.092995694180866,111
True,3,1,96.0,47.0,4.0,53.0,4.0,False,3.1955013314939316,121
True,3,5,7.0,35.0,2.0,35.0,5.0,False,0.7943111751334793,19
False,2,4,39.0,42.0,3.0,71.0,2.0,True,0.38889337036311467,119
True,3,5,72.0,41.0,3.0,67.0,1.0,False,3.8824315554670124,115
True,3,5,65.0,77.0,3.0,32.0,1.0,False,1.4829735956593246,117
True,3,3,88.0,4.0,1.0,67.0,3.0,False,4.719296428731691,114
True,3,1,65.0,76.0,4.0,62.0,4.0,False,2.9638886051394246,137
True,2,4,68.0,67.0,5.0,75.0,1.0,False,2.8069343507572766,89
True,3,2,70.0,38.0,3.0,19.0,5.0,False,0.7507783081228997,125
True,2,5,90.0,63.0,5.0,86.0,4.0,False,1.6774202808408822,149
True,1,2,40.0,39.0,3.0,76.0,4.0,False,4.598102408596187,19
False,1,2,48.0,48.0,2.0,97.0,3.0,False,6.397695878451953,15
False,3,5,58.0,88.0,2.0,14.0,1.0,False,3.495596771283122,98
True,3,1,62.0,74.0,4.0,49.0,3.0,False,3.389948016675488,80
True,2,5,43.0,17.0,5.0,7.0,1.0,False,2.3808749392212127,131
False,3,2,41.0,52.0,3.0,89.0,3.0,False,4.153459976473648,35
True,2,5,40.0,73.0,2.0,29.0,4.0,False,2.390706158164372,162
False,2,1,28.0,51.0,2.0,80.0,3.0,False,4.126451543870319,24
False,3,5,44.0,29.0,3.0,94.0,2.0,True,1.96375464945294,159
False,1,1,40.0,50.0,2.0,48.0,1.0,False,4.1818742160032825,11
False,3,5,8.0,15.0,2.0,39.0,5.0,False,0.8108356095407291,17
True,3,3,10.0,12.0,1.0,32.0,1.0,True,1.883678247562501,72
True,2,3,66.0,49.0,5.0,55.0,5.0,False,3.5742370932874263,162
False,1,5,89.0,81.0,1.0,24.0,1.0,False,4.174101583239349,114
False,3,2,26.0,43.0,2.0,55.0,3.0,False,6.29204712384432,40
False,3,5,13.0,56.0,4.0,44.0,4.0,False,1.0589727703024856,19
True,3,4,56.0,60.0,1.0,70.0,1.0,False,1.7125277358346067,165
False,1,3,33.0,38.0,1.0,94.0,4.0,False,6.28123673602178,71
True,1,5,98.0,21.0,4.0,84.0,2.0,False,5.195908312368884,56
True,1,2,68.0,9.0,4.0,49.0,4.0,False,3.733249933848799,165
False,3,1,2.0,32.0,4.0,31.0,2.0,False,0.9431664071252321,18
True,3,5,12.0,55.0,3.0,44.0,2.0,False,1.1997289799038438,18
True,2,5,73.0,18.0,3.0,23.0,1.0,False,3.6009191362642956,183
False,2,1,8.0,28.0,4.0,26.0,1.0,False,0.7673027425301494,11
False,3,3,73.0,71.0,4.0,42.0,5.0,False,3.149909878304127,162
True,3,4,46.0,82.0,4.0,37.0,2.0,True,1.2242887476015032,132
True,3,5,10.0,12.0,1.0,37.0,4.0,False,0.6700793999393708,12
False,2,1,48.0,31.0,3.0,47.0,5.0,False,4.118352521479924,24
False,3,1,8.0,48.0,4.0,37.0,5.0,False,0.9266419727179824,19
True,2,5,83.0,69.0,5.0,94.0,1.0,False,2.7448184631602226,66
True,3,1,8.0,26.0,2.0,47.0,5.0,False,1.0403897497160108,16
True,2,3,18.0,56.0,5.0,78.0,2.0,False,2.5317887573921904,139
True,2,5,82.0,37.0,4.0,21.0,1.0,False,3.3797904081058685,150
False,3,1,33.0,42.0,4.0,85.0,3.0,False,4.379032266616985,7
False,2,5,8.0,51.0,3.0,28.0,4.0,False,1.0403897497160108,15
True,3,5,72.0,83.0,5.0,33.0,4.0,False,2.639169708552589,143
True,3,5,99.0,66.0,5.0,26.0,1.0,False,2.91225671573845,117
False,3,4,3.0,16.0,4.0,32.0,5.0,False,0.8108356095407291,14
False,3,4,11.0,26.0,3.0,37.0,4.0,False,1.0403897497160108,11
False,2,2,49.0,36.0,2.0,88.0,3.0,False,3.253500046732536,34
False,3,5,2.0,30.0,4.0,47.0,2.0,False,0.6700793999393708,18
False,1,1,31.0,36.0,3.0,47.0,3.0,False,5.319487308310073,31
True,1,5,24.0,6.0,2.0,45.0,5.0,False,1.4373821424695201,59
False,2,2,45.0,53.0,2.0,50.0,1.0,False,3.131326857717652,31
True,3,2,4.0,51.0,3.0,17.0,2.0,False,1.8718669660224396,22
True,1,1,15.0,48.0,1.0,18.0,2.0,True,0.8714066207094948,98
False,3,5,13.0,49.0,3.0,47.0,5.0,False,0.9617494277117069,9
True,3,1,68.0,50.0,5.0,78.0,4.0,False,2.9723140171562794,130
True,1,2,98.0,2.0,5.0,47.0,2.0,False,2.566569822759455,97
True,3,5,72.0,76.0,5.0,92.0,1.0,False,3.396314842513119,130
False,2,1,21.0,32.0,1.0,66.0,3.0,False,5.675331809858688,26
False,2,1,28.0,35.0,1.0,77.0,4.0,False,3.582336115677821,25
False,3,5,13.0,42.0,3.0,49.0,5.0,False,0.6785048119562258,17
False,3,1,13.0,17.0,5.0,27.0,1.0,False,0.7943111751334793,11
True,3,3,77.0,58.0,4.0,68.0,4.0,False,1.7725850372524357,170
False,3,5,8.0,32.0,1.0,27.0,4.0,False,1.2348364348975682,20
True,3,5,13.0,19.0,5.0,47.0,5.0,False,0.9266419727179824,9
False,3,1,62.0,92.0,4.0,38.0,4.0,False,1.9339828536194934,115
False,3,5,5.0,40.0,4.0,31.0,2.0,False,1.0052822947222864,17
False,3,2,31.0,15.0,4.0,94.0,4.0,True,1.6824598233345305,100
False,3,4,83.0,5.0,5.0,29.0,5.0,False,2.107787932035351,132
True,3,1,80.0,51.0,5.0,28.0,5.0,False,3.7420017354921145,171
False,3,5,2.0,33.0,3.0,45.0,2.0,False,0.6700793999393708,14
True,2,1,13.0,38.0,2.0,14.0,1.0,True,0.9182165607011274,78
False,1,2,44.0,78.0,5.0,70.0,1.0,False,4.446209421545829,58
False,2,2,56.0,36.0,2.0,58.0,5.0,False,4.614300453376977,21
True,2,4,46.0,56.0,5.0,57.0,3.0,False,1.8367595110287147,152
False,3,4,8.0,14.0,5.0,41.0,5.0,False,1.0673981823193406,8
False,3,5,9.0,21.0,5.0,44.0,4.0,False,0.6700793999393708,17
True,3,1,60.0,45.0,4.0,61.0,1.0,False,3.034429904753334,90
False,3,5,82.0,92.0,5.0,66.0,1.0,False,4.7982631403624545,147
True,1,2,51.0,31.0,2.0,86.0,2.0,False,4.7901641179720595,19
True,3,4,56.0,42.0,5.0,80.0,5.0,False,2.0207221980141923,164
False,2,5,47.0,11.0,4.0,0.0,1.0,False,3.1232278353272576,188
False,3,2,62.0,45.0,3.0,13.0,4.0,False,2.802817178398827,80
True,3,5,69.0,67.0,4.0,49.0,1.0,False,2.2232679055861446,153
True,1,2,64.0,2.0,3.0,19.0,1.0,False,2.2958677913792784,57
False,3,5,4.0,26.0,2.0,47.0,5.0,False,0.7943111751334793,8
True,2,2,69.0,24.0,4.0,56.0,1.0,False,2.9659471913186493,90
True,2,3,86.0,96.0,2.0,57.0,1.0,False,4.078284047574874,154
True,1,2,71.0,94.0,3.0,60.0,3.0,False,1.085654813279355,60
True,2,5,52.0,37.0,5.0,9.0,1.0,False,2.936880172536095,151
True,3,5,74.0,20.0,3.0,89.0,1.0,False,2.5149379333584805,107
False,3,4,6.0,44.0,3.0,49.0,5.0,False,1.102505637313065,5
False,2,1,32.0,35.0,2.0,88.0,3.0,False,5.233400743168294,25
True,1,4,54.0,43.0,3.0,17.0,1.0,False,3.0445875133229534,86
False,3,1,12.0,44.0,5.0,43.0,4.0,False,0.7757281545470045,14
False,2,2,25.0,39.0,3.0,59.0,3.0,False,4.499146869452644,32
True,2,5,80.0,22.0,3.0,70.0,1.0,False,4.245722300153101,60
False,3,5,3.0,57.0,4.0,49.0,4.0,False,0.7757281545470045,5
False,2,1,47.0,81.0,2.0,74.0,5.0,False,3.0759041855846885,108
True,2,2,22.0,51.0,1.0,93.0,4.0,False,3.086388183780768,27
True,2,5,20.0,98.0,5.0,9.0,2.0,False,1.2348364348975682,140
False,1,1,33.0,46.0,2.0,60.0,5.0,False,2.8318841971813815,8
False,2,1,27.0,44.0,4.0,74.0,4.0,False,4.130895105855228,28
True,1,1,71.0,13.0,4.0,22.0,3.0,False,1.3506427980748215,37
False,2,4,4.0,8.0,5.0,38.0,1.0,False,0.9266419727179824,6
False,2,5,80.0,73.0,4.0,78.0,3.0,False,3.4995786213150675,82
True,3,5,99.0,60.0,3.0,33.0,1.0,False,3.6798858478950596,109
True,1,5,76.0,48.0,5.0,30.0,4.0,False,4.289255167163681,93
True,3,5,81.0,24.0,3.0,12.0,1.0,False,3.5472286606840964,100
True,2,2,25.0,99.0,1.0,7.0,4.0,False,1.5015566162457994,77
True,3,1,52.0,24.0,3.0,94.0,2.0,False,3.088120380333533,99
True,1,5,32.0,56.0,1.0,85.0,1.0,True,2.0020754883277325,166
True,1,1,85.0,74.0,5.0,11.0,1.0,False,3.0965457923503883,75
True,2,1,78.0,70.0,5.0,40.0,1.0,False,2.277284770792804,117
False,3,4,4.0,38.0,2.0,36.0,5.0,False,1.0673981823193406,19
True,3,4,50.0,74.0,4.0,94.0,4.0,False,3.4067988407091985,69
True,3,5,82.0,48.0,1.0,74.0,2.0,False,1.7476351908283312,88
True,1,5,67.0,62.0,5.0,7.0,3.0,False,1.7911680578389104,112
True,3,4,60.0,61.0,3.0,39.0,2.0,True,1.5415948171910188,107
False,3,2,25.0,33.0,4.0,84.0,4.0,False,5.241173375932228,31
True,2,1,67.0,44.0,1.0,4.0,4.0,False,3.25555863291176,131
True,1,1,82.0,4.0,1.0,26.0,2.0,True,1.0370489876349724,62
True,2,4,82.0,66.0,1.0,27.0,4.0,False,4.518482917712503,125
True,2,2,81.0,88.0,5.0,7.0,4.0,False,2.9662735809451095,156
False,1,1,34.0,39.0,4.0,46.0,4.0,False,5.419422016332996,18
False,3,4,26.0,63.0,3.0,87.0,1.0,True,2.835161270162435,101
True,1,5,51.0,43.0,2.0,8.0,4.0,False,1.6338874138303026,121
False,2,1,8.0,40.0,2.0,32.0,4.0,False,0.40541780477036454,8
False,3,5,4.0,23.0,2.0,49.0,2.0,False,0.732195287536425,15
True,3,3,92.0,33.0,2.0,0.0,2.0,False,3.3095754981184196,130
True,2,4,58.0,19.0,3.0,44.0,1.0,True,1.166680111089344,82
False,2,5,12.0,23.0,4.0,40.0,2.0,False,0.8294186301272037,24
False,2,2,35.0,35.0,2.0,94.0,4.0,False,3.598860550085071,33
True,3,4,95.0,24.0,1.0,99.0,1.0,False,2.947364170732175,113
False,2,4,11.0,31.0,3.0,39.0,5.0,False,0.7673027425301494,12
True,1,2,71.0,7.0,3.0,27.0,2.0,True,1.7072371841164968,132
False,3,5,12.0,39.0,4.0,30.0,4.0,False,0.732195287536425,11
True,3,1,85.0,73.0,4.0,68.0,5.0,False,3.344682953112144,115
True,1,2,64.0,33.0,3.0,12.0,3.0,False,2.5402141694090457,131
True,3,5,56.0,65.0,3.0,87.0,1.0,False,1.4913990076761796,107
False,1,2,31.0,84.0,2.0,4.0,5.0,False,2.91225671573845,141
False,1,1,52.0,45.0,2.0,64.0,4.0,False,5.162206664301465,31
False,1,2,49.0,90.0,1.0,3.0,4.0,False,3.9357956414207513,163
False,2,4,13.0,23.0,2.0,39.0,1.0,False,0.5998644899519219,17
True,2,4,60.0,71.0,3.0,58.0,2.0,False,3.042855316770189,71
True,3,5,52.0,25.0,5.0,43.0,4.0,False,2.8048757645780524,100
True,1,5,71.0,96.0,3.0,41.0,3.0,False,3.3281585187048943,146
True,3,5,87.0,64.0,4.0,63.0,4.0,False,2.2070698608053547,106
True,3,4,82.0,43.0,5.0,49.0,4.0,False,3.5307042262768467,111
True,2,5,20.0,16.0,3.0,40.0,5.0,False,0.22955414017528186,75
True,2,1,51.0,36.0,3.0,88.0,3.0,False,6.29172073421786,18
