external,year,test_1,session_3,session_4,test_2,dropout,outside_interaction,first_sessions
1,1,4,45.0,32.0,1.0,1,0.38889337036311467,68
0,2,3,89.0,36.0,2.0,0,2.2873972719202555,92
0,3,5,54.0,99.0,5.0,0,1.794085325053349,148
1,2,3,24.0,4.0,3.0,0,1.3887763168251377,98
1,3,1,3.0,49.0,4.0,0,0.8880398516588979,20
1,3,5,94.0,34.0,5.0,0,2.3414141371269146,74
0,2,2,52.0,86.0,1.0,1,1.7180358806370233,104
0,1,1,93.0,65.0,4.0,0,1.9003114785119042,35
0,3,2,21.0,35.0,4.0,0,2.8295443288178648,107
1,3,5,70.0,5.0,2.0,0,1.2713162806774425,54
1,1,1,34.0,16.0,2.0,1,0.7530093799442631,63
1,3,5,53.0,73.0,5.0,0,1.1997289799038438,171
1,3,5,99.0,58.0,4.0,0,1.8890775958227641,133
0,3,5,89.0,78.0,2.0,0,4.493563344248228,142
1,1,4,53.0,6.0,4.0,0,0.6196336289268448,121
0,3,5,9.0,24.0,3.0,0,0.5171521030313363,16
1,1,1,32.0,5.0,2.0,1,0.5185244938174862,79
1,3,4,72.0,42.0,5.0,0,1.3761700433498478,186
0,3,3,14.0,52.0,1.0,0,2.980772845313289,107
1,3,5,9.0,56.0,1.0,0,2.4890508823168394,135
1,3,5,1.0,30.0,5.0,0,0.5763507234139521,7
1,3,5,50.0,66.0,1.0,0,1.5706167285314052,100
1,3,5,56.0,45.0,3.0,0,0.6355493437965679,90
1,3,3,81.0,6.0,1.0,0,1.5760160767916684,132
1,1,2,29.0,52.0,2.0,0,4.428965375605349,5
1,3,5,67.0,75.0,2.0,0,0.5887394038049352,126
0,3,2,58.0,87.0,2.0,1,1.0230703233735325,95
0,3,2,23.0,34.0,2.0,0,3.8762372152715203,24
1,3,5,79.0,36.0,5.0,0,2.193994985021297,122
1,2,1,57.0,34.0,5.0,0,1.0410759451090859,146
1,3,4,26.0,1.0,1.0,1,0.6701881964815242,84
0,3,4,11.0,56.0,3.0,0,0.7059818468683237,9
1,2,5,55.0,31.0,3.0,0,1.1169077964411047,63
0,2,1,92.0,63.0,5.0,0,2.174616972499594,90
1,3,2,52.0,54.0,5.0,0,0.5349401316825827,22
1,3,3,79.0,88.0,3.0,0,3.9586232125656458,66
0,1,1,59.0,42.0,2.0,0,4.275929282155161,16
0,3,5,4.0,17.0,4.0,0,0.5171521030313363,19
0,2,3,19.0,22.0,3.0,0,1.9464686392506165,165
1,3,3,93.0,37.0,3.0,0,3.246087219735216,113
1,2,2,65.0,63.0,3.0,0,0.706054377896426,88
0,2,1,43.0,42.0,1.0,0,4.324111612932944,17
1,2,1,30.0,0.0,2.0,1,0.6233782564898915,61
1,3,5,12.0,98.0,4.0,0,0.73500375820871,137
0,3,1,94.0,17.0,5.0,0,0.6895361373751151,117
0,3,2,36.0,54.0,2.0,0,3.623964300493497,32
0,3,4,11.0,8.0,3.0,0,0.7059818468683237,25
1,1,5,27.0,43.0,2.0,0,1.395330462787244,111
1,3,1,96.0,47.0,4.0,0,2.1303342209959544,121
1,3,5,7.0,35.0,2.0,0,0.5295407834223195,19
0,2,4,39.0,42.0,3.0,0,0.2592622469087431,119
1,3,5,72.0,41.0,3.0,0,2.5882877036446748,115
1,3,5,65.0,77.0,3.0,0,0.9886490637728831,117
1,3,3,88.0,4.0,1.0,0,3.1461976191544605,114
1,3,1,65.0,76.0,4.0,0,1.9759257367596164,137
0,3,3,78.0,96.0,1.0,1,0.49374713303552,134
1,2,4,68.0,67.0,5.0,0,1.8712895671715177,89
1,3,2,70.0,38.0,3.0,0,0.5005188720819331,125
1,2,5,90.0,63.0,5.0,0,1.1182801872272548,149
1,1,2,40.0,39.0,3.0,0,3.0654016057307913,19
0,1,2,48.0,48.0,2.0,0,4.265130585634635,15
0,3,5,58.0,88.0,2.0,0,2.3303978475220815,98
1,3,1,62.0,74.0,4.0,0,2.2599653444503254,80
1,2,5,43.0,17.0,5.0,0,1.5872499594808085,131
0,3,2,41.0,52.0,3.0,0,2.768973317649099,35
1,2,5,40.0,73.0,2.0,0,1.5938041054429148,162
1,2,3,15.0,12.0,1.0,1,0.6949655572634905,81
0,2,1,28.0,51.0,2.0,0,2.7509676959135456,24
0,3,5,44.0,29.0,3.0,0,1.3091697663019601,159
0,1,1,40.0,50.0,2.0,0,2.7879161440021885,11
0,3,5,8.0,15.0,2.0,0,0.5405570730271527,17
1,3,3,10.0,12.0,1.0,0,1.2557854983750005,72
1,2,3,66.0,49.0,5.0,0,2.3828247288582842,162
0,3,1,54.0,30.0,2.0,1,0.824596680717862,146
1,1,5,27.0,47.0,2.0,1,0.49374713303552,98
0,1,5,89.0,81.0,1.0,0,2.782734388826232,114
0,3,2,26.0,43.0,2.0,0,4.19469808256288,40
0,3,5,13.0,56.0,4.0,0,0.7059818468683237,19
1,3,4,56.0,60.0,1.0,0,1.141685157223071,165
0,1,3,33.0,38.0,1.0,0,4.1874911573478535,71
1,1,5,98.0,21.0,4.0,0,3.4639388749125892,56
1,1,2,68.0,9.0,4.0,0,2.4888332892325327,165
0,3,1,2.0,32.0,4.0,0,0.6287776047501548,18
1,3,5,12.0,55.0,3.0,0,0.7998193199358958,18
1,2,5,73.0,18.0,3.0,0,2.4006127575095304,183
0,2,1,8.0,28.0,4.0,0,0.5115351616867663,11
0,3,3,73.0,71.0,4.0,0,2.099939918869418,162
1,3,4,46.0,82.0,4.0,0,0.8161924984010022,132
1,3,5,10.0,12.0,1.0,0,0.44671959995958055,12
0,3,2,76.0,83.0,3.0,1,0.8714066207094947,91
0,2,1,48.0,31.0,3.0,0,2.7455683476532826,24
1,1,3,21.0,39.0,3.0,1,1.059081566844639,60
0,3,1,8.0,48.0,4.0,0,0.6177613151453216,19
1,2,5,83.0,69.0,5.0,0,1.8298789754401483,66
1,3,1,8.0,26.0,2.0,0,0.6935931664773405,16
1,2,3,18.0,56.0,5.0,0,1.6878591715947937,139
1,2,5,82.0,37.0,4.0,0,2.2531936054039123,150
0,3,1,33.0,42.0,4.0,0,2.9193548444113233,7
1,1,3,55.0,8.0,1.0,1,0.8466292599275285,80
0,2,5,8.0,51.0,3.0,0,0.6935931664773405,15
1,3,5,72.0,83.0,5.0,0,1.7594464723683925,143
1,3,5,99.0,66.0,5.0,0,1.9415044771589667,117
0,3,3,78.0,99.0,2.0,1,0.7282320191622969,124
0,3,4,3.0,16.0,4.0,0,0.5405570730271527,14
0,3,4,11.0,26.0,3.0,0,0.6935931664773405,11
0,2,2,49.0,36.0,2.0,0,2.169000031155024,34
0,3,5,2.0,30.0,4.0,0,0.44671959995958055,18
0,1,1,31.0,36.0,3.0,0,3.546324872206715,31
1,1,5,24.0,6.0,2.0,0,0.9582547616463468,59
1,1,3,58.0,19.0,2.0,1,0.3528821268920085,73
0,2,2,45.0,53.0,2.0,0,2.0875512384784347,31
1,3,2,4.0,51.0,3.0,0,1.2479113106816264,22
1,1,1,15.0,48.0,1.0,0,0.5809377471396632,98
0,3,5,13.0,49.0,3.0,0,0.6411662851411379,9
1,3,1,68.0,50.0,5.0,0,1.9815426781041863,130
1,1,2,98.0,2.0,5.0,0,1.7110465485063033,97
1,3,5,72.0,76.0,5.0,0,2.264209895008746,130
0,2,1,21.0,32.0,1.0,0,3.7835545399057917,26
0,2,1,28.0,35.0,1.0,0,2.3882240771185472,25
0,3,5,13.0,42.0,3.0,0,0.4523365413041506,17
0,3,1,13.0,17.0,5.0,0,0.5295407834223195,11
1,3,3,77.0,58.0,4.0,0,1.1817233581682904,170
0,3,5,8.0,32.0,1.0,0,0.8232242899317121,20
1,3,5,13.0,19.0,5.0,0,0.6177613151453216,9
0,3,1,62.0,92.0,4.0,0,1.2893219024129956,115
0,3,5,5.0,40.0,4.0,0,0.6701881964815242,17
0,3,2,31.0,15.0,4.0,0,1.1216398822230202,100
0,3,4,83.0,5.0,5.0,0,1.4051919546902343,132
1,3,5,28.0,12.0,1.0,1,0.5405570730271527,77
1,3,1,80.0,51.0,5.0,0,2.4946678236614095,171
0,3,5,2.0,33.0,3.0,0,0.44671959995958055,14
1,2,1,13.0,38.0,2.0,0,0.6121443738007516,78
0,1,2,44.0,78.0,5.0,0,2.9641396143638863,58
0,2,2,56.0,36.0,2.0,0,3.076200302251318,21
0,2,4,58.0,78.0,3.0,1,1.8589008867805346,97
1,2,4,46.0,56.0,5.0,0,1.2245063406858099,152
1,2,2,40.0,33.0,1.0,1,0.9294504433902673,58
0,3,5,83.0,83.0,2.0,1,1.2823325702822759,134
0,3,4,8.0,14.0,5.0,0,0.7115987882128937,8
0,3,5,9.0,21.0,5.0,0,0.44671959995958055,17
1,3,1,60.0,45.0,4.0,0,2.022953269835556,90
0,3,5,82.0,92.0,5.0,0,3.1988420935749695,147
0,2,5,54.0,91.0,2.0,1,1.1527014468279042,110
1,1,2,51.0,31.0,2.0,0,3.193442745314706,19
1,1,4,55.0,1.0,2.0,1,0.3528821268920085,105
1,3,4,56.0,42.0,5.0,0,1.3471481320094616,164
0,2,5,47.0,11.0,4.0,0,2.0821518902181717,188
1,2,4,59.0,10.0,1.0,1,0.6701881964815242,82
0,3,2,62.0,45.0,3.0,0,1.8685447855992179,80
1,3,5,69.0,67.0,4.0,0,1.4821786037240963,153
1,2,2,14.0,21.0,1.0,1,0.5653344338091189,86
1,1,2,64.0,2.0,3.0,0,1.5305785275861856,57
0,3,5,4.0,26.0,2.0,0,0.5295407834223195,8
1,2,2,69.0,24.0,4.0,0,1.9772981275457662,90
1,2,3,86.0,96.0,2.0,0,2.7188560317165824,154
0,3,3,37.0,7.0,1.0,1,1.4339962729463138,118
1,1,2,71.0,94.0,3.0,0,0.7237698755195701,60
1,2,5,52.0,37.0,5.0,0,1.9579201150240633,151
1,3,5,74.0,20.0,3.0,0,1.6766252889056537,107
0,3,4,6.0,44.0,3.0,0,0.73500375820871,5
0,2,1,32.0,35.0,2.0,0,3.4889338287788623,25
1,1,4,54.0,43.0,3.0,0,2.029725008881969,86
0,3,1,12.0,44.0,5.0,0,0.5171521030313363,14
0,1,2,62.0,34.0,1.0,1,1.199511386819537,134
0,2,2,25.0,39.0,3.0,0,2.9994312463017625,32
1,2,5,80.0,22.0,3.0,0,2.830481533435401,60
0,2,1,31.0,63.0,1.0,1,2.3414141371269146,163
1,1,2,25.0,39.0,1.0,1,0.38889337036311467,89
0,3,5,3.0,57.0,4.0,0,0.5171521030313363,5
0,2,1,47.0,81.0,2.0,0,2.0506027903897923,108
1,2,2,22.0,51.0,1.0,0,2.057592122520512,27
1,2,5,20.0,98.0,5.0,0,0.8232242899317121,140
1,2,5,57.0,6.0,1.0,1,0.12963112345437156,83
0,1,1,33.0,46.0,2.0,0,1.887922798120921,8
0,2,1,27.0,44.0,4.0,0,2.7539300705701524,28
1,1,1,71.0,13.0,4.0,0,0.900428532049881,37
0,2,4,4.0,8.0,5.0,0,0.6177613151453216,6
0,2,5,80.0,73.0,4.0,0,2.333052414210045,82
1,3,5,99.0,60.0,3.0,0,2.45325723193004,109
1,1,5,76.0,48.0,5.0,0,2.8595034447757874,93
1,3,5,81.0,24.0,3.0,0,2.364819107122731,100
1,2,2,25.0,99.0,1.0,0,1.0010377441638663,77
1,3,2,38.0,22.0,1.0,1,0.49374713303552,89
1,3,1,52.0,24.0,3.0,0,2.0587469202223554,99
1,1,5,32.0,56.0,1.0,0,1.3347169922184883,166
1,1,1,85.0,74.0,5.0,0,2.0643638615669255,75
1,2,3,27.0,24.0,1.0,1,0.8466292599275285,93
1,2,1,78.0,70.0,5.0,0,1.5181898471952027,117
0,3,4,4.0,38.0,2.0,0,0.7115987882128937,19
1,3,4,50.0,74.0,4.0,0,2.2711992271394656,69
1,3,5,82.0,48.0,1.0,0,1.1650901272188874,88
1,2,3,40.0,10.0,1.0,1,0.0,93
1,1,5,67.0,62.0,5.0,0,1.1941120385592736,112
1,3,4,60.0,61.0,3.0,0,1.0277298781273458,107
1,1,2,9.0,49.0,1.0,1,0.6949655572634905,76
0,3,2,25.0,33.0,4.0,0,3.494115583954819,31
1,2,1,67.0,44.0,1.0,0,2.1703724219411735,131
1,1,1,82.0,4.0,1.0,0,0.6913659917566483,62
1,2,4,82.0,66.0,1.0,0,3.0123219451416685,125
1,2,2,81.0,88.0,5.0,0,1.977515720630073,156
0,1,1,34.0,39.0,4.0,0,3.612948010888664,18
0,3,4,26.0,63.0,3.0,0,1.8901075134416232,101
1,1,5,51.0,43.0,2.0,0,1.0892582758868683,121
0,2,1,8.0,40.0,2.0,0,0.27027853651357636,8
0,3,5,4.0,23.0,2.0,0,0.48813019169095,15
1,3,3,92.0,33.0,2.0,0,2.2063836654122797,130
1,2,4,58.0,19.0,3.0,0,0.7777867407262294,82
0,2,5,12.0,23.0,4.0,0,0.5529457534181358,24
0,2,2,35.0,35.0,2.0,0,2.399240366723381,33
1,3,4,95.0,24.0,1.0,0,1.9649094471547832,113
1,2,1,4.0,37.0,1.0,1,0.3641160095811484,79
0,2,4,11.0,31.0,3.0,0,0.5115351616867663,12
1,1,2,71.0,7.0,3.0,0,1.1381581227443311,132
0,3,5,12.0,39.0,4.0,0,0.48813019169095,11
0,2,5,59.0,67.0,2.0,1,0.3528821268920085,102
1,3,1,85.0,73.0,4.0,0,2.229788635408096,115
1,1,2,64.0,33.0,3.0,0,1.6934761129393636,131
1,3,5,56.0,65.0,3.0,0,0.9942660051174531,107
0,1,2,31.0,84.0,2.0,0,1.9415044771589667,141
0,1,1,52.0,45.0,2.0,0,3.4414711095343096,31
0,1,2,49.0,90.0,1.0,0,2.6238637609471676,163
0,2,4,13.0,23.0,2.0,0,0.3999096599679479,17
1,2,4,60.0,71.0,3.0,0,2.028570211180126,71
1,1,4,33.0,34.0,3.0,1,0.5405570730271527,82
1,3,5,52.0,25.0,5.0,0,1.8699171763853681,100
1,1,5,71.0,96.0,3.0,0,2.218772345803263,146
1,3,5,87.0,64.0,4.0,0,1.4713799072035698,106
1,3,4,82.0,43.0,5.0,0,2.3538028175178978,111
1,2,5,20.0,16.0,3.0,0,0.1530360934501879,75
1,2,1,51.0,36.0,3.0,0,4.194480489478573,18
0,2,5,1.0,8.0,1.0,0,0.5763507234139521,11
1,1,5,54.0,93.0,3.0,0,1.795240122755192,138
1,1,4,68.0,40.0,1.0,0,0.8476892491744996,52
0,1,5,48.0,46.0,5.0,1,0.6121443738007516,142
0,2,1,2.0,41.0,3.0,0,0.44671959995958055,11
0,3,1,6.0,37.0,2.0,0,0.6935931664773405,15
1,1,1,26.0,41.0,2.0,0,3.471145800127616,41
0,1,1,25.0,40.0,1.0,0,2.7935330853467586,21
1,2,4,12.0,48.0,5.0,0,0.6287776047501548,10
0,3,1,43.0,53.0,2.0,0,2.8047669680358984,32
1,1,5,59.0,13.0,1.0,1,0.12963112345437156,102
1,1,5,11.0,79.0,2.0,0,1.3035103655573999,45
0,1,3,39.0,96.0,1.0,0,2.6882441365057397,102
1,3,1,77.0,42.0,1.0,0,2.5000671719216725,122
1,3,1,95.0,49.0,2.0,0,1.788468383708779,114
1,3,5,51.0,60.0,3.0,0,0.7777867407262294,36
0,2,1,40.0,32.0,2.0,0,1.316971422967232,41
0,3,2,55.0,54.0,3.0,0,4.070248714284464,104
1,1,1,30.0,40.0,1.0,0,4.335345495622084,27
1,2,1,27.0,44.0,4.0,0,0.6361518694481557,142
1,1,2,11.0,67.0,1.0,0,3.1338089387634773,123
1,2,5,81.0,18.0,4.0,0,1.4409856050770338,120
0,3,5,68.0,30.0,3.0,0,1.3181987516971774,42
1,1,5,76.0,47.0,5.0,0,1.7402860529309963,132
1,3,2,50.0,44.0,4.0,0,1.635432290258591,136
0,2,4,8.0,55.0,4.0,0,0.8232242899317121,16
1,1,5,35.0,22.0,1.0,1,0.7169981364731569,88
1,3,2,80.0,32.0,5.0,0,1.788468383708779,150
0,2,5,75.0,87.0,5.0,1,1.1527014468279042,134
0,1,2,54.0,46.0,3.0,0,1.798329875611769,28
0,1,2,16.0,38.0,4.0,0,3.2872802183822785,73
1,3,1,50.0,33.0,4.0,0,1.95813770810837,136
1,2,5,10.0,21.0,3.0,0,0.6467832264857079,20
1,2,5,53.0,32.0,5.0,0,1.725025212767743,156
